area,date,description,price,size
 (Bayside),1/28/2020 10:02,Awesome House for rent... Finish Basement... Prime Location...,"$3,699 ",3br -
 (Richmond hill),1/28/2020 9:57,2 br renovated apt in Richmond hill on corner of public transportation,"$2,000 ","2br -
                    1200ft"
 (Forest Hills),1/28/2020 9:52,"Large Spacious 3 Bedroom, 2 full bath, wood floors","$2,900 ",3br -
 (Long Island City),1/28/2020 9:49,"Huge 1.5 Bedroom w/Stainless Steel Appliances, Laundry & Elevator","$2,399 ",2br -
 (Flushing. /Fresh. Meadows),1/28/2020 9:14,"King Bed en 1fl./Patio,!garage,159st./65ave. Utilities. Includes. Open","$2,800 ",3br -
 (East. Elmhurhst. /Jackson Hts),1/28/2020 9:10,"Brand New en 2fl. By LGA AIRPORT,24av./101st.Utilida Incluid. Dog k","$2,050 ",2br -
 (ASTORIA),1/28/2020 8:23,HUGE 2BR PEN HOUSE + 2BATHS_2 BALCONIES_ELEVATOR_LAUNDRY 3Oth Ave-33st,"$2,900 ","2br -
                    1200ft"
 (ASTORIA),1/28/2020 8:22,HUGE_2br PEN HOUSE_2BATHS_2 BALCONIES_ELEVATOR_LAUNDRY by 3OAVE-33ST,"$2,900 ","2br -
                    1200ft"
 (Astoria),1/28/2020 8:06,2 Bedroom Apartment For Rent,"$2,300 ","2br -
                    850ft"
 (East Elmhurst),1/28/2020 8:00,3 bedroom 2 Bathroom Apartment,"$2,550 ","3br -
                    995ft"
 (Forest Hills),1/28/2020 6:54,Forest Hills 3 bedroom apartment,"$2,400 ","3br -
                    950ft"
" (Rego Park, NY)",1/28/2020 3:19,PERFECT FAMILY SIZE ONE BEDROOM,$900 ,1br -
 (JAMAICA),1/28/2020 3:03,"JAMAICA/153rd St, Nice&Fine 2Bed/1.5 Ba Under Renovation","$2,100 ",2br -
 (LONG ISLAND CITY),1/28/2020 2:45,Duplex in LIC with BACKYARD!!! PETS FRIENDLY!!,"$3,100 ","3br -
                    1200ft"
 (Ridgewood),1/28/2020 1:11,HUGE 3 BED/OFFICE/1.5 BATH NEAR TRAIN,"$3,000 ",4br -
 (Ridgewood),1/28/2020 0:18,NO-FEE LUXURY 3 BED DUPLEX NEAR TRAIN,"$3,395 ",3br -
 (Ridgewood),1/27/2020 23:15,NO-FEE LUXURY STUDIO NEAR TRAIN,"$1,925 ",1br -
 (Ridgewood),1/27/2020 22:57,"MODERN, SPACIOUS 3 BED/1 BATH APT","$1,988 ",3br -
 (Astoria),1/27/2020 22:45,3 Bedrooms apt with high end renovation work Astoria,"$3,100 ","3br -
                    1200ft"
 (Astoria),1/27/2020 22:16,"2 Bedroom apt , Broadway R tain","$1,800 ","2br -
                    750ft"
 (Ridgewood),1/27/2020 22:09,"Brand New Large 3 Bed/1 Bath Apt near L, M trains","$2,600 ",3br -
 (Woodside),1/27/2020 22:02,3 Bedroom Apartment for rent,"$2,650 ",3br -
 (Briarwood),1/27/2020 21:55,Newly renovated! ** 2 bedroom 2 bath ** Laundry on site,"$2,200 ",2br -
" (FLUSHING, NY)",1/27/2020 21:41,RENOVATED 2 BEDROOM NEAR #7 SUBWAY,"$2,095 ",2br -
" (RICHMOND HILL, NY)",1/27/2020 21:38,NO FEE. LARGE 2 BEDROOM IN NICE APT BUILDING NEAR SUBWAYS,"$1,975 ",2br -
 (Briarwood / Kew Gardens / Forest Hills / Rego Park),1/27/2020 21:25,"Super ( 3 Bed + 2 Bath ) Big Terrace *Elevator/Laundry E/F Trains, WOW","$2,550 ","3br -
                    1400ft"
 (Astoria),1/27/2020 21:14,2 Bedroom Luxurious Apartment in Astoria NY,"$3,600 ","2br -
                    1140ft"
 (Long Island City),1/27/2020 21:04,"Master Studio within a house, furnished! Backyard & Laundry","$1,700 ","1br -
                    600ft"
 (ROSEDALE),1/27/2020 21:00,FURNISHED STUDIO,"$1,150 ",
 (Jackson Heights),1/27/2020 20:31,Apartamento en Renta,"$3,100 ",3br -
 (Jamaica),1/27/2020 20:11,Estudio en Renta,$950 ,1br -
 (Far Rockaway),1/27/2020 19:50,Spacious 3 bedroom apartment in Far Rockaway - NO FEE!,"$2,395 ",3br -
" (Ridgewood, Queens)",1/27/2020 19:49,"Beautiful, brand new, Duplex Apartment in Ridgewood, Queens, NO FEE","$2,800 ",1br -
 (Far Rockaway),1/27/2020 19:48,Cozy 1br in Far Rockaway - NO FEE!,"$1,350 ",1br -
 (Rego Park Queens),1/27/2020 19:44,Rego Park Studio for rent,"$1,639 ","1br -
                    489ft"
 (Far Rockaway),1/27/2020 19:44,Brand new 3BR for Rent! | Fully Renovated | Won't Last! | NO FEE!~,"$2,849 ",4br -
 (Far Rockaway),1/27/2020 19:35,Brand new 3BR for Rent! | Fully Renovated | Won't Last! | NO FEE!~,"$2,649 ",3br -
 (ELMHURST),1/27/2020 19:34,1 BEDROOM APT.,"$1,400 ",1br -
" (Ridgewood, Queens)",1/27/2020 19:24,"Modern luxury with outdoor living space, 2 bedrooms, 1.5 baths Duplex.","$3,100 ",2br -
 (astoria),1/27/2020 18:47,brand new 3-bedroom unit by the park,"$3,300 ",
 (long island city),1/27/2020 18:38,1.5 bedroom in luxury highrise - lease break negotiable,"$3,654 ","1br -
                    763ft"
 (Flushing),1/27/2020 18:23,ID:1366751 Newly Renovated 3 Bedroom For Rent in Flushing,"$2,500 ",3br -
 (Woodhaven),1/27/2020 18:20,1 BR apartment,"$1,650 ",1br -
 (Flushing),1/27/2020 18:17,ID:1366754 Newly Renovated 2 Bedroom for Rent in Flushing,"$2,300 ",2br -
 (astoria),1/27/2020 17:59,Top Floor two bed apt renovated area short distance from the N Train,"$2,500 ",2br -
 (Jackson heights),1/27/2020 17:57,2-bedroom apartment 89th st/32nd ave,"$2,000 ",
 (ASTORIA),1/27/2020 17:56,Renovated two bedroom apt DITMRS AREA 2 blocks from the train,"$2,150 ",1br -
 (astoria),1/27/2020 17:51,2-bedroom apartment 89th st/32nd ave,"$1,680 ",
" (QuEENS + E,J,Z trenes)",1/27/2020 17:50,RENTES YA:  ~> > > > > __________________GRANDE y FACIL,"$2,100 ",2br -
 (Flushing),1/27/2020 17:02,ID# 1366217 Beautiful 3 Bedroom Apartment for Rent,"$2,450 ",3br -
 (Bayside),1/27/2020 16:49,"Bayside 16 Ave and Bell Blvd, 1Br 1Bath,Including Heat, Backyard,$1550","$1,550 ",1br -
